slot_zero_based,slot_one_based,x,psi,native_frequency,mr_frequency,candidate_frequency,mr_exponent,candidate_exponent_intended,candidate_exponent_realized,exponent_delta_to_mr,frequency_ratio_to_mr,frequency_ratio_to_native,p2_frequency,p2_exponent,p2_exponent_delta_to_mr,candidate_exponent_delta_to_p2
11,12,0.0,-0.0,0.09305720031261444,0.09305720031261444,0.09305720031261444,0.0,0.0,0.0,0.0,1.0,1.0,0.09305720031261444,0.0,0.0,0.0
12,13,0.0,-0.0,0.07498941570520401,0.07498941570520401,0.07498941570520401,0.0,0.0,0.0,0.0,1.0,1.0,0.07498940825462341,7.166955573873607e-08,7.166955573873607e-08,-7.166955573873607e-08
13,14,0.0,-0.0,0.0604296438395977,0.0604296438395977,0.0604296438395977,0.0,0.0,0.0,0.0,1.0,1.0,0.060429636389017105,8.89374457941871e-08,8.89374457941871e-08,-8.89374457941871e-08
14,15,0.0,-0.0,0.04869675263762474,0.04869675263762474,0.04869675263762474,0.0,0.0,0.0,0.0,1.0,1.0,0.04869673401117325,2.759146439857692e-07,2.759146439857692e-07,-2.759146439857692e-07
15,16,0.0,-0.0,0.03924189880490303,0.03924189880490303,0.03924189880490303,0.0,0.0,0.0,0.0,1.0,1.0,0.039241865277290344,6.163073486012427e-07,6.163073486012427e-07,-6.163073486012427e-07
16,17,0.0,-0.0,0.03162277862429619,0.03162277862429619,0.03162277862429619,0.0,0.0,0.0,0.0,1.0,1.0,0.03162271901965141,1.3596434312850407e-06,1.3596434312850407e-06,-1.3596434312850407e-06
17,18,0.0,-0.0,0.025482967495918274,0.025482967495918274,0.025482967495918274,0.0,0.0,0.0,0.0,1.0,1.0,0.02548285387456417,3.216292010932731e-06,3.216292010932731e-06,-3.216292010932731e-06
18,19,0.0,-0.0,0.02053525112569332,0.02053525112569332,0.02053525112569332,0.0,0.0,0.0,0.0,1.0,1.0,0.02053503319621086,7.655310617019465e-06,7.655310617019465e-06,-7.655310617019465e-06
19,20,0.0,-0.0,0.016548171639442444,0.016548171639442444,0.016548171639442444,0.0,0.0,0.0,0.0,1.0,1.0,0.016547763720154762,1.7781734435186666e-05,1.7781734435186666e-05,-1.7781734435186666e-05
20,21,0.0,-0.0,0.01333521492779255,0.01333521492779255,0.01333521492779255,0.0,0.0,0.0,0.0,1.0,1.0,0.013334447517991066,4.151302317706148e-05,4.151302317706148e-05,-4.151302317706148e-05
21,22,0.0,-0.0,0.010746078565716743,0.010746078565716743,0.010746078565716743,0.0,0.0,0.0,0.0,1.0,1.0,0.010744602419435978,9.909546020013291e-05,9.909546020013291e-05,-9.909546020013291e-05
22,23,0.0,-0.0,0.00865964312106371,0.00865964312106371,0.00865964312106371,0.0,0.0,0.0,0.0,1.0,1.0,0.008656865917146206,0.0002313779494949044,0.0002313779494949044,-0.0002313779494949044
23,24,0.0,-0.0,0.006978305988013744,0.006978305988013744,0.006978305988013744,0.0,0.0,0.0,0.0,1.0,1.0,0.006972896866500378,0.0005593577310363921,0.0005593577310363921,-0.0005593577310363921
24,25,0.058823529411764705,-0.048849989822918785,0.005623413249850273,0.005572691094130278,0.006445137783885002,0.006535943298074508,-0.09838255104039033,-0.09838256507592938,-0.10491849433846484,1.1565575186239327,1.146125582013132,0.005612778943032026,0.0013654150825676864,-0.005170528215506821,-0.09974796612295801
25,26,0.11764705882352941,-0.07938123346224302,0.004531583748757839,0.004410064313560724,0.005585880950093269,0.019607826189602676,-0.15088472711040268,-0.1508847393188303,-0.17049255330000535,1.2666211993591496,1.232655349605847,0.004511839710175991,0.0031497664503545952,-0.01645805973924808,-0.15403449356075727
26,27,0.17647058823529413,-0.09403623040911865,0.003651741426438093,0.0034585162065923214,0.00457600736990571,0.03921569863520241,-0.16275240296634239,-0.16275238074231285,-0.2019681016015448,1.3231128890427997,1.2531027900212381,0.0036094081588089466,0.00841115949220986,-0.030804539142992554,-0.17116356245855224
27,28,0.23529411764705882,-0.09525748015469163,0.002942727180197835,0.0026878169737756252,0.003569240216165781,0.06535944746520171,-0.1392316164948047,-0.13923160207149568,-0.20459106396000643,1.327932761415672,1.2129021814131702,0.0028569488786160946,0.021339287539872017,-0.04402015992532969,-0.16057090403467672
28,29,0.29411764705882354,-0.08548748219010786,0.0023713738191872835,0.002070019952952862,0.00267003639601171,0.09803921534950834,-0.08556814974280512,-0.08556815158820749,-0.18360736509231346,1.2898602219765714,1.1259449583224226,0.0021397783420979977,0.0741308739457372,-0.02390834140377114,-0.15969902368854233
29,30,0.35294117647058826,-0.06716873600651331,0.001910952851176262,0.001579844276420772,0.00192960852291435,0.13725491137051335,-0.007008018344875772,-0.007008000698467672,-0.14426292971538912,1.221391596446448,1.0097624971367583,0.0014063885901123285,0.22114845601203462,0.08389354464152127,-0.2281564743569104
30,31,0.4117647058823529,-0.042743741095053946,0.0015399265103042126,0.0011948656756430864,0.0013570330338552594,0.18300653026844718,0.09120284772229043,0.0912028313732097,-0.09180368254615676,1.135720157937329,0.881232334643799,0.00047360098687931895,0.850558755346035,0.6675522250775878,-0.7593559076237446
31,32,0.47058823529411764,-0.014654996946875639,0.0012409378541633487,0.0008955479715950787,0.0009354897192679346,0.23529412380749823,0.20381857550595878,0.20381858179235407,-0.03147554830153945,1.044600344079519,0.7538570252566354,0.0003111604310106486,0.9978501759875588,0.7625560521800605,-0.7940316004815999
32,33,0.5294117647058824,0.014654996946875639,0.0010000000474974513,0.0006651560543105006,0.000636756478343159,0.2941176539797237,0.3255932022812632,0.3255932154486511,0.03147554830153948,0.9573038901423206,0.6367564480988506,0.0002500003029126674,0.9999991602414913,0.7058815062617676,-0.6744059579602281
33,34,0.5882352941176471,0.042743741095053946,0.0008058422245085239,0.000489579513669014,0.00043107409146614373,0.35947710584769504,0.4512807883938518,0.45128077295633595,0.09180368254615673,0.8804986308262409,0.5349360933885687,0.00020146055612713099,1.0,0.6405228941523049,-0.5487192116061482
34,35,0.6470588235294118,0.06716873600651335,0.0006493816617876291,0.0003570983826648444,0.00029237009584903717,0.4313725221949293,0.5756354519103185,0.5756354434400496,0.14426292971538923,0.8187382246517814,0.4502284450783468,0.00016234541544690728,1.0,0.5686274778050707,-0.4243645480896815
35,36,0.7058823529411765,0.08548748219010789,0.0005232990952208638,0.0002581175067462027,0.00020011277229059488,0.509803884709606,0.6934112498019196,0.6934112568428765,0.18360736509231357,0.7752777981361733,0.38240611175934713,0.00013082477380521595,1.0,0.490196115290394,-0.3065887501980804
36,37,0.7647058823529411,0.09525748015469164,0.00042169648804701865,0.00018488940258976072,0.00013923099322710186,0.5947712356678594,0.7993622996278659,0.7993623058008086,0.20459106396000648,0.7530501547242955,0.33016872839495354,0.00010542412201175466,1.0,0.4052287643321406,-0.20063770037213413
37,38,0.8235294117647058,0.09403623040911868,0.0003398208355065435,0.00013124161341693252,9.919154399540275e-05,0.6862745383350216,0.8882426399365665,0.8882426346003438,0.20196810160154488,0.7557933906244196,0.2918936499215709,8.495520887663588e-05,1.0,0.3137254616649784,-0.11175736006343351
38,39,0.8823529411764706,0.07938123346224304,0.00027384195709601045,9.232005686499178e-05,7.288687629625201e-05,0.7843137452154681,0.9548062985154735,0.9548062653513205,0.17049255330000535,0.7895020732368188,0.26616402055108557,6.846048927400261e-05,1.0,0.21568625478453185,-0.045193701484526505
39,40,0.9411764705882353,0.04884998982291879,0.00022067342069931328,6.435548857552931e-05,5.564400271396153e-05,0.8888888866645848,0.9938073810030497,0.9938073823767588,0.1049184943384649,0.864634919967335,0.2521554364708984,5.516835517482832e-05,1.0,0.11111111333541523,-0.006192618996950339
40,41,1.0,0.0,0.00017782794020604342,4.4456985051510856e-05,4.4456985051510856e-05,1.0,1.0,1.0,0.0,1.0,0.25,4.4456985051510856e-05,1.0,0.0,0.0
41,42,1.0,0.0,0.00014330126577988267,3.582531644497067e-05,3.582531644497067e-05,1.0,1.0,1.0,0.0,1.0,0.25,3.582531644497067e-05,1.0,0.0,0.0
42,43,1.0,0.0,0.00011547819303814322,2.8869548259535804e-05,2.8869548259535804e-05,1.0,1.0,1.0,0.0,1.0,0.25,2.8869548259535804e-05,1.0,0.0,0.0
43,44,1.0,0.0,9.305720595875755e-05,2.3264301489689387e-05,2.3264301489689387e-05,1.0,1.0,1.0,0.0,1.0,0.25,2.3264301489689387e-05,1.0,0.0,0.0
44,45,1.0,0.0,7.498942431993783e-05,1.8747356079984456e-05,1.8747356079984456e-05,1.0,1.0,1.0,0.0,1.0,0.25,1.8747356079984456e-05,1.0,0.0,0.0
45,46,1.0,0.0,6.042963650543243e-05,1.5107409126358107e-05,1.5107409126358107e-05,1.0,1.0,1.0,0.0,1.0,0.25,1.5107409126358107e-05,1.0,0.0,0.0
46,47,1.0,0.0,4.869675467489287e-05,1.2174188668723218e-05,1.2174188668723218e-05,1.0,1.0,1.0,0.0,1.0,0.25,1.2174188668723218e-05,1.0,0.0,0.0
47,48,1.0,0.0,3.92418987757992e-05,9.8104746939498e-06,9.8104746939498e-06,1.0,1.0,1.0,0.0,1.0,0.25,9.8104746939498e-06,1.0,0.0,0.0
48,49,1.0,0.0,3.162277425872162e-05,7.905693564680405e-06,7.905693564680405e-06,1.0,1.0,1.0,0.0,1.0,0.25,7.905693564680405e-06,1.0,0.0,0.0
49,50,1.0,0.0,2.5482966520939954e-05,6.370741630234988e-06,6.370741630234988e-06,1.0,1.0,1.0,0.0,1.0,0.25,6.370741630234988e-06,1.0,0.0,0.0
50,51,1.0,0.0,2.0535249859676696e-05,5.133812464919174e-06,5.133812464919174e-06,1.0,1.0,1.0,0.0,1.0,0.25,5.133812464919174e-06,1.0,0.0,0.0
51,52,1.0,0.0,1.6548170606256463e-05,4.137042651564116e-06,4.137042651564116e-06,1.0,1.0,1.0,0.0,1.0,0.25,4.137042651564116e-06,1.0,0.0,0.0
52,53,1.0,0.0,1.333521413471317e-05,3.3338035336782923e-06,3.3338035336782923e-06,1.0,1.0,1.0,0.0,1.0,0.25,3.3338035336782923e-06,1.0,0.0,0.0
53,54,1.0,0.0,1.0746078260126524e-05,2.686519565031631e-06,2.686519565031631e-06,1.0,1.0,1.0,0.0,1.0,0.25,2.686519565031631e-06,1.0,0.0,0.0
54,55,1.0,0.0,8.659643754072022e-06,2.1649109385180054e-06,2.1649109385180054e-06,1.0,1.0,1.0,0.0,1.0,0.25,2.1649109385180054e-06,1.0,0.0,0.0
55,56,1.0,0.0,6.978306373639498e-06,1.7445765934098745e-06,1.7445765934098745e-06,1.0,1.0,1.0,0.0,1.0,0.25,1.7445765934098745e-06,1.0,0.0,0.0
56,57,1.0,0.0,5.62341347176698e-06,1.405853367941745e-06,1.405853367941745e-06,1.0,1.0,1.0,0.0,1.0,0.25,1.405853367941745e-06,1.0,0.0,0.0
57,58,1.0,0.0,4.531583726929966e-06,1.1328959317324916e-06,1.1328959317324916e-06,1.0,1.0,1.0,0.0,1.0,0.25,1.1328959317324916e-06,1.0,0.0,0.0
58,59,1.0,0.0,3.651741280918941e-06,9.129353202297352e-07,9.129353202297352e-07,1.0,1.0,1.0,0.0,1.0,0.25,9.129353202297352e-07,1.0,0.0,0.0
59,60,1.0,0.0,2.9427271783788456e-06,7.356817945947114e-07,7.356817945947114e-07,1.0,1.0,1.0,0.0,1.0,0.25,7.356817945947114e-07,1.0,0.0,0.0
60,61,1.0,0.0,2.3713737391517498e-06,5.928434347879374e-07,5.928434347879374e-07,1.0,1.0,1.0,0.0,1.0,0.25,5.928434347879374e-07,1.0,0.0,0.0
61,62,1.0,0.0,1.910952960315626e-06,4.777382400789065e-07,4.777382400789065e-07,1.0,1.0,1.0,0.0,1.0,0.25,4.777382400789065e-07,1.0,0.0,0.0
62,63,1.0,0.0,1.5399265294036013e-06,3.8498163235090033e-07,3.8498163235090033e-07,1.0,1.0,1.0,0.0,1.0,0.25,3.8498163235090033e-07,1.0,0.0,0.0
63,64,1.0,0.0,1.2409377632138785e-06,3.102344408034696e-07,3.102344408034696e-07,1.0,1.0,1.0,0.0,1.0,0.25,3.102344408034696e-07,1.0,0.0,0.0
