slot_zero_based,slot_one_based,mr_exponent,bm_exponent_intended,bm_exponent_realized,exponent_delta_to_mr,native_frequency,mr_frequency,bm_frequency,frequency_ratio_to_mr,native_right_log_gap,mr_right_log_gap,bm_right_log_gap
21,22,0.1637427145410307,0.34385964912280703,0.3438596244907609,0.18011693458177633,0.013490419834852219,0.010750843212008476,0.008375318720936775,0.7790383094399249,0.20503687396998382,0.269892703271199,0.3120490914992827
22,23,0.21052630619383275,0.42105263157894735,0.4210526222627861,0.2105263253851146,0.010989529080688953,0.008207853883504868,0.006130277644842863,0.746879480537871,0.20503700540870595,0.2779998852942434,0.31448130999100754
23,24,0.2631578986837537,0.5,0.5,0.23684210131624628,0.008952259086072445,0.00621578237041831,0.0044761295430362225,0.7201232727095925,0.20503685344420372,0.2861067076671455,0.3144811095942673
24,25,0.3216374370102685,0.5789473684210527,0.5789473428007391,0.2573099314107842,0.00729266507551074,0.004669186659157276,0.003268325002864003,0.6999773711025489,0.20503692234319187,0.2942137113134242,0.3120491661091165
25,26,0.38596489261514644,0.656140350877193,0.6561403594984893,0.2701754582620466,0.005940730683505535,0.003479091450572014,0.0023922359105199575,0.6876036300013438,0.20503699938337278,0.3023208570945869,0.3071850106069775
26,27,0.4561403621544045,0.7298245614035088,0.7298245741129717,0.2736841992491043,0.00483942124992609,0.0025713995564728975,0.0017595242243260145,0.684267141563754,0.20503694466289907,0.31042775262436023,0.29988865988079455
27,28,0.5321637601550452,0.7982456140350878,0.7982456236953068,0.2660818538800426,0.003942275885492563,0.0018851786153391004,0.0013036327436566353,0.6915168319062126,0.20503685631050225,0.31853459214344537,0.2901601987853661
28,29,0.6140350704742015,0.8596491228070176,0.8596491357214963,0.24561405233281608,0.0032114461064338684,0.0013709281338378787,0.00097530463244766,0.7114192264165732,0.2050370279092114,0.32664184205179736,0.2779998554923097
29,30,0.7017544016300679,0.9122807017543859,0.9122806904831825,0.21052630012431806,0.0026160990819334984,0.0009889081120491028,0.0007385952048934996,0.7468795087170098,0.20503683126311656,0.3347485677887564,0.26340718595336454
30,31,0.795321641145386,0.9543859649122807,0.9543860011064577,0.15906432376689472,0.002131119603291154,0.0007075815228745341,0.0005675579304806888,0.8021095974566964,0.20503693346149002,0.34285571305215135,0.24638249689036998
31,32,0.8947368760737942,0.9842105263157894,0.9842105207672603,0.08947365024199527,0.0017360467463731766,0.0005021993420086801,0.00044361644540913403,0.8833473250577586,0.20503703554014252,0.3509627106729059,0.22692590156550915
32,33,1.0,1.0,1.0,0.0,0.001414213445968926,0.0003535533614922315,0.0003535533614922315,1.0,0.2050369248926434,0.2050369248926434,0.2050369248926434
33,34,1.0,1.0,1.0,0.0,0.001152042648755014,0.0002880106621887535,0.0002880106621887535,1.0,0.20503686851998756,0.20503686851998756,0.20503686851998756
34,35,1.0,1.0,1.0,0.0,0.0009384738514199853,0.00023461846285499632,0.00023461846285499632,1.0,0.20503692669244045,0.20503692669244045,0.20503692669244045
35,36,1.0,1.0,1.0,0.0,0.0007644969737157226,0.00019112424342893064,0.00019112424342893064,1.0,0.20503688436176365,0.20503688436176365,0.20503688436176365
36,37,1.0,1.0,1.0,0.0,0.0006227724370546639,0.00015569310926366597,0.00015569310926366597,1.0,0.20503694647368878,0.20503694647368878,0.20503694647368878
37,38,1.0,1.0,1.0,0.0,0.0005073211505077779,0.00012683028762694448,0.00012683028762694448,1.0,0.20503691170328808,0.20503691170328808,0.20503691170328808
38,39,1.0,1.0,1.0,0.0,0.0004132725589442998,0.00010331813973607495,0.00010331813973607495,1.0,0.20503696234092864,0.20503696234092864,0.20503696234092864
39,40,1.0,1.0,1.0,0.0,0.00033665893715806305,8.416473428951576e-05,8.416473428951576e-05,1.0,0.20503686862573461,0.20503686862573461,0.20503686862573461
40,41,1.0,1.0,1.0,0.0,0.00027424818836152554,6.856204709038138e-05,6.856204709038138e-05,1.0,0.20503704474164186,0.20503704474164186,0.20503704474164186
41,42,1.0,1.0,1.0,0.0,0.00022340727446135134,5.5851818615337834e-05,5.5851818615337834e-05,1.0,0.2050368377531887,0.2050368377531887,0.2050368377531887
42,43,1.0,1.0,1.0,0.0,0.00018199143232777715,4.549785808194429e-05,4.549785808194429e-05,1.0,0.20503694056606994,0.20503694056606994,0.20503694056606994
43,44,1.0,1.0,1.0,0.0,0.00014825335529167205,3.706333882291801e-05,3.706333882291801e-05,1.0,0.20503689336954276,0.20503689336954276,0.20503689336954276
44,45,1.0,1.0,1.0,0.0,0.00012076974235242233,3.0192435588105582e-05,3.0192435588105582e-05,1.0,0.20503694802126574,0.20503694802126574,0.20503694802126574
45,46,1.0,1.0,1.0,0.0,9.838111145654693e-05,2.4595277864136733e-05,2.4595277864136733e-05,1.0,0.2050369297707312,0.2050369297707312,0.2050369297707312
46,47,1.0,1.0,1.0,0.0,8.014294871827587e-05,2.003573717956897e-05,2.003573717956897e-05,1.0,0.20503701321284198,0.20503701321284198,0.20503701321284198
47,48,1.0,1.0,1.0,0.0,6.528582161990926e-05,1.6321455404977314e-05,1.6321455404977314e-05,1.0,0.20503689154555874,0.20503689154555874,0.20503689154555874
48,49,1.0,1.0,1.0,0.0,5.3182957344688475e-05,1.3295739336172119e-05,1.3295739336172119e-05,1.0,0.20503690347439332,0.20503690347439332,0.20503690347439332
49,50,1.0,1.0,1.0,0.0,4.332375465310179e-05,1.0830938663275447e-05,1.0830938663275447e-05,1.0,0.20503695677581255,0.20503695677581255,0.20503695677581255
50,51,1.0,1.0,1.0,0.0,3.529227615217678e-05,8.823069038044196e-06,8.823069038044196e-06,1.0,0.20503697395856652,0.20503697395856652,0.20503697395856652
51,52,1.0,1.0,1.0,0.0,2.8749695047736168e-05,7.187423761934042e-06,7.187423761934042e-06,1.0,0.20503689217501922,0.20503689217501922,0.20503689217501922
52,53,1.0,1.0,1.0,0.0,2.3419997887685895e-05,5.854999471921474e-06,5.854999471921474e-06,1.0,0.20503692574384902,0.20503692574384902,0.20503692574384902
53,54,1.0,1.0,1.0,0.0,1.907833393488545e-05,4.7695834837213624e-06,4.7695834837213624e-06,1.0,0.20503689980065062,0.20503689980065062,0.20503689980065062
54,55,1.0,1.0,1.0,0.0,1.5541540051344782e-05,3.8853850128361955e-06,3.8853850128361955e-06,1.0,0.20503692865791415,0.20503692865791415,0.20503692865791415
55,56,1.0,1.0,1.0,0.0,1.2660406355280429e-05,3.1651015888201073e-06,3.1651015888201073e-06,1.0,0.20503692373592644,0.20503692373592644,0.20503692373592644
56,57,1.0,1.0,1.0,0.0,1.0313385246263351e-05,2.578346311565838e-06,2.578346311565838e-06,1.0,0.20503697721592748,0.20503697721592748,0.20503697721592748
57,58,1.0,1.0,1.0,0.0,8.401460945606232e-06,2.100365236401558e-06,2.100365236401558e-06,1.0,0.20503685550894618,0.20503685550894618,0.20503685550894618
58,59,1.0,1.0,1.0,0.0,6.843975370429689e-06,1.7109938426074223e-06,1.7109938426074223e-06,1.0,0.2050369327631391,0.2050369327631391,0.2050369327631391
59,60,1.0,1.0,1.0,0.0,5.575220257014735e-06,1.3938050642536837e-06,1.3938050642536837e-06,1.0,0.20503693349458119,0.20503693349458119,0.20503693349458119
60,61,1.0,1.0,1.0,0.0,4.541670477919979e-06,1.1354176194799948e-06,1.1354176194799948e-06,1.0,0.20503692876068697,0.20503692876068697,0.20503692876068697
61,62,1.0,1.0,1.0,0.0,3.6997230381530244e-06,9.249307595382561e-07,9.249307595382561e-07,1.0,0.20503695116125487,0.20503695116125487,0.20503695116125487
62,63,1.0,1.0,1.0,0.0,3.01385807688348e-06,7.5346451922087e-07,7.5346451922087e-07,1.0,0.2050369389857844,0.2050369389857844,0.2050369389857844
63,64,1.0,1.0,1.0,0.0,2.4551407022954663e-06,6.137851755738666e-07,6.137851755738666e-07,1.0,,,
