arm,prompt_sha8,depth_percent,answer_position,best_gold_rank,best_gold_rank_layer,final_gold_rank,rank_degradation_factor,best_gold_rank_layers_ge20,best_gold_rank_layer_ge20,rank_degradation_factor_layers_ge20,peak_gold_prob,peak_gold_prob_layer,final_gold_prob,gold_prob_drop_factor,peak_kl,peak_kl_layer,final_kl,kl_drop_factor,peak_delta_centred,final_delta_centred,delta_retention_R,entropy_at_peak_kl_layer,entropy_final,top1_prob_final
evq,c4b929f0,25.0,1,4740,31,4740,1.0,4740,31,1.0,2.8420630769687705e-05,29,1.1005733540514484e-05,2.582,0.10004037618637085,30,0.07785854488611221,1.285,1.359375,1.359375,1.0,5.325665473937988,6.04460334777832,0.10426240414381027
evq,c4b929f0,25.0,2,157,31,157,1.0,157,31,1.0,0.00047004950465634465,31,0.00047004950465634465,1.0,0.3335818946361542,14,0.21831707656383514,1.528,1.546875,1.546875,1.0,9.021321296691895,5.9075469970703125,0.06553489714860916
evq,8c28ff35,50.0,0,239,25,543,2.272,239,25,2.272,0.00036853060009889305,25,5.975538806524128e-05,6.167,0.006827348843216896,28,0.0007932884618639946,8.606,0.625,0.328125,0.525,7.010084629058838,3.335827350616455,0.5840600728988647
evq,8c28ff35,50.0,1,230,29,440,1.913,230,29,1.913,0.00042837613727897406,29,0.00011662163160508499,3.673,0.23397032916545868,10,0.054907094687223434,4.261,0.59375,0.34375,0.5789,8.9226655960083,5.646671295166016,0.1361394226551056
evq,8c28ff35,50.0,2,31,28,76,2.452,31,28,2.452,0.0030115777626633644,30,0.0009836938697844744,3.061,0.2864515781402588,20,0.053779974579811096,5.326,2.265625,1.0234375,0.4517,9.068035125732422,6.317442893981934,0.09725238382816315
geo,6cd995c6,10.0,0,18387,3,64300,3.497,34473,30,1.865,1.1642443496384658e-05,3,4.693293931268272e-08,248.066,0.010044066235423088,29,0.005428791046142578,1.85,0.16796875,0.1640625,0.9767,9.388660430908203,3.525216579437256,0.22323131561279297
geo,6cd995c6,10.0,1,9677,30,21005,2.171,9677,30,2.171,6.073533768358175e-06,30,3.802146579801047e-07,15.974,0.033533189445734024,15,0.02080712467432022,1.612,0.19140625,-0.046875,-0.2449,9.068374633789062,3.2080295085906982,0.2193898856639862
geo,6cd995c6,10.0,2,11297,31,11297,1.0,11297,31,1.0,1.1754555089282803e-05,9,5.173173462935665e-07,22.722,0.003858235664665699,1,0.0010243922006338835,3.766,0.4921875,0.09375,0.1905,9.410480499267578,2.645571708679199,0.351719468832016
geo,06800fde,10.0,0,451,29,36721,81.421,451,29,81.421,0.00020225360640324652,29,1.8429410886255937e-07,1097.45,0.008847824297845364,29,0.003144366666674614,2.814,0.078125,-0.1044921875,-1.3375,9.358175277709961,3.540569305419922,0.22141647338867188
geo,06800fde,10.0,1,1309,30,33355,25.481,1309,30,25.481,4.0887789509724826e-05,30,1.1500583951828958e-07,355.528,0.02200276404619217,6,0.0029492592439055443,7.46,0.2138671875,-0.0302734375,-0.1416,9.345965385437012,2.7221038341522217,0.3089510500431061
geo,06800fde,10.0,2,5295,0,10378,1.96,10378,31,1.0,3.1361716537503526e-05,0,6.738601996403304e-07,46.54,0.061892442405223846,14,0.017982106655836105,3.442,0.560791015625,-0.3125,-0.5572,9.034955024719238,2.8578779697418213,0.2358359843492508
geo,933bec9a,25.0,0,3350,30,42164,12.586,3350,30,12.586,3.917400317732245e-05,29,2.1896384794217738e-07,178.906,0.00103071762714535,21,0.0009036492556333542,1.141,0.0263671875,0.0263671875,1.0,10.248724937438965,4.307769775390625,0.28168198466300964
geo,933bec9a,25.0,1,20670,19,76508,3.701,30180,24,2.535,5.373632120608818e-06,24,1.7541607277848925e-08,306.336,0.006303318776190281,30,0.0009992499835789204,6.308,0.125,-0.015625,-0.125,5.848827362060547,2.778193712234497,0.31487956643104553
geo,933bec9a,25.0,2,13842,0,29132,2.105,29132,31,1.0,1.0715277312556282e-05,0,1.3243328567114077e-07,80.911,0.013035798445343971,30,0.0005952275823801756,21.901,0.046875,-0.013671875,-0.2917,5.067519187927246,2.7468104362487793,0.3155010938644409
geo,c4b929f0,25.0,0,11247,29,50790,4.516,11247,29,4.516,1.4400897271116264e-05,29,1.4195639153058437e-07,101.446,0.001028097583912313,21,0.0008282368071377277,1.241,0.078125,0.078125,1.0,10.246118545532227,4.313564300537109,0.28146523237228394
geo,c4b929f0,25.0,1,724,6,80092,110.624,6601,21,12.133,0.00015301682287827134,6,1.500058210979205e-08,10200.726,0.008623817004263401,30,0.0024875658564269543,3.467,0.03125,0.002197265625,0.0703,4.491662979125977,2.6761136054992676,0.39485377073287964
geo,c4b929f0,25.0,2,3591,30,17096,4.761,3591,30,4.761,1.884636549220886e-05,0,3.661967582502257e-07,51.465,0.003930773586034775,30,0.002034951001405716,1.932,0.15234375,0.0,0.0,4.854496955871582,2.903843641281128,0.28881481289863586
geo,8c28ff35,50.0,0,147,30,15312,104.163,147,30,104.163,0.0002443546836730093,30,1.658454038988566e-06,147.339,0.0009148465469479561,31,0.0009148465469479561,1.0,0.03125,0.03125,1.0,4.608936309814453,4.608936309814453,0.26992133259773254
geo,8c28ff35,50.0,1,2502,29,13582,5.428,2502,29,5.428,6.238562491489574e-05,29,6.333325472951401e-07,98.504,0.0007984105031937361,15,0.00015084113692864776,5.293,0.0546875,-0.03369140625,-0.6161,8.500823020935059,2.8603341579437256,0.40450847148895264
geo,8c28ff35,50.0,2,3777,29,16956,4.489,3777,29,4.489,4.317577258916572e-05,29,3.308242639832315e-07,130.51,0.0005379628855735064,20,0.0004919765051454306,1.093,0.03125,0.03125,1.0,9.107882499694824,2.6121163368225098,0.400970995426178
geo,aab0eff7,50.0,0,6834,30,18088,2.647,6834,30,2.647,1.296753907809034e-05,29,1.2276277630007826e-06,10.563,0.0008412264287471771,31,0.0008412264287471771,1.0,0.01513671875,-0.015625,-1.0323,4.531956672668457,4.531956672668457,0.27739807963371277
geo,aab0eff7,50.0,1,13818,18,55878,4.044,13991,29,3.994,1.1499236279632896e-05,29,4.456244084849459e-08,258.048,0.0005834164330735803,30,7.314194226637483e-05,7.976,0.0439453125,-0.01953125,-0.4444,5.767931938171387,2.8157477378845215,0.3633780777454376
geo,aab0eff7,50.0,2,14494,30,27982,1.931,14494,30,1.931,7.03053501638351e-06,27,1.6379175349356956e-07,42.924,0.0008227762300521135,31,0.0008227762300521135,1.0,0.0234375,0.0234375,1.0,2.9056789875030518,2.9056789875030518,0.3585996627807617
