arm,prompt_sha8,depth_percent,answer_position,gold_id,gold_delta_centred_final,gap_full,gap_ablated,deficit_closed_by_gold_block,residual_deficit,closure_fraction,gold_blocks_worth_still_needed,median_abs_delta_top32_competitors,top1_id,top1_logit_full,top_ids_json,top_delta_centred_json
evq,c4b929f0,25.0,1,23467,1.3594,9.1562,10.2891,1.1328,9.1562,0.1101,8.083,0.2266,13,11.9375,"[13, 220, 791, 11, 578, 15, 24, 23, 22, 19, 7, 20, 320, 279, 16, 17, 26, 21, 18, 198, 19664, 12, 25, 14, 58, 662, 32, 11829, 510, 627, 1174, 9]","[0.2266, 0.1641, -0.0859, 0.0391, 0.2891, 0.5391, 0.9766, 0.9141, 0.9141, 0.9766, 0.1641, 0.7266, -0.3984, -0.0859, 0.7891, 0.9766, 0.1016, 0.7891, 0.8516, -0.2109, 0.1016, -0.0859, 0.2891, 0.0391, 0.1016, 0.4141, 0.1641, 0.1641, -0.0234, 0.2266, 0.2266, 0.0391]"
evq,c4b929f0,25.0,2,5332,1.5469,4.9375,6.75,1.8125,4.9375,0.2685,2.724,0.3594,13,11.5,"[13, 220, 24, 23, 19, 11, 7, 22, 20, 18, 15, 578, 17, 16, 21, 320, 791, 198, 279, 12, 26, 14, 25, 58, 19664, 9, 627, 33, 32, 922, 323, 1174]","[-0.2656, -0.1406, 1.1719, 1.2344, 1.3594, -0.0781, 0.3594, 1.2344, 1.2969, 1.4219, 0.9219, 0.2969, 1.3594, 1.2344, 1.1094, -0.6406, -0.3906, -0.6406, 0.1719, -0.1406, -0.2031, 0.0469, 0.1719, 0.4219, -0.2656, 0.3594, -0.1406, 0.8594, 0.1719, -0.0156, -0.0781, 0.2344]"
evq,8c28ff35,50.0,0,7322,0.3281,9.1875,9.4688,0.2812,9.1875,0.0297,32.667,0.0469,220,15.1875,"[220, 578, 320, 922, 25644, 1115, 19664, 323, 1102, 21279, 2435, 4815, 358, 1174, 4213, 763, 2684, 279, 4959, 1959, 16834, 510, 362, 471, 1442, 264, 1226, 7456, 612, 369, 315, 304]","[0.0469, -0.0156, 0.0469, 0.0469, 0.0469, -0.0156, 0.0469, 0.0469, -0.0156, 0.0469, -0.0156, -0.0156, -0.0156, 0.1094, -0.0781, -0.0781, -0.0156, -0.0156, 0.0469, -0.0156, -0.0156, 0.0469, -0.0156, 0.1094, -0.0156, -0.0156, -0.0156, 0.0469, 0.0469, 0.0469, 0.0469, -0.0156]"
evq,8c28ff35,50.0,1,12378,0.3438,7.0625,7.0625,0.0,7.0625,0.0,,0.3438,13,12.5625,"[13, 791, 220, 578, 15, 320, 24, 11, 7, 16, 23, 279, 198, 17, 19664, 19, 18, 22, 14, 26, 20, 21, 922, 271, 12, 25, 58, 323, 9, 11829, 2028, 662]","[0.3438, 0.3438, 0.0312, 0.3438, -0.5312, 0.2188, -0.3438, 0.1562, 0.2812, -0.3438, -0.5312, -0.0938, -0.0938, -0.4062, 0.2188, -0.5938, -0.4688, -0.5312, 0.4688, 0.3438, -0.7812, -0.7188, 0.4062, 0.0938, 0.0938, 0.1562, 0.0312, 0.4062, 0.2188, 0.2188, 0.1562, 0.2812]"
evq,8c28ff35,50.0,2,3487,1.0234,4.5938,5.375,0.7812,4.5938,0.1453,5.88,0.2188,13,11.5,"[13, 220, 11, 578, 279, 24, 791, 7, 12, 23, 20, 19, 198, 26, 14, 320, 22, 16, 21, 15, 18, 17, 25, 58, 5925, 662, 19664, 1174, 922, 11829, 9, 3534]","[0.2422, 0.1172, 0.1172, 0.3672, 0.0547, -0.2578, -0.0703, 0.3047, -0.0703, -0.2578, -0.1328, -0.0703, -0.0078, 0.2422, 0.2422, -0.1328, -0.1953, -0.2578, -0.0703, -0.5703, -0.1328, -0.0078, 0.2422, 0.4297, 0.9297, 0.3984, -0.5078, 0.3359, 0.0547, -0.0703, 0.0547, 0.7109]"
geo,6cd995c6,10.0,0,24963,0.1641,15.375,15.5312,0.1562,15.375,0.0101,98.4,0.0625,791,14.1875,"[791, 198, 578, 13, 279, 220, 271, 627, 2028, 2181, 1115, 256, 1102, 7009, 644, 11, 19664, 7576, 323, 32, 3947, 50, 8538, 2435, 382, 362, 1820, 1271, 720, 62, 2520, 2170]","[0.0078, 0.0078, 0.2578, 0.0078, 0.0078, 0.1953, 0.1328, -0.0547, -0.0547, -0.0547, 0.1953, 0.0703, 0.2578, -0.1172, 0.0078, 0.1328, 0.1953, 0.0078, 0.1328, 0.0078, -0.0547, -0.1172, -0.1172, 0.1328, -0.0547, 0.2578, -0.1172, 0.0078, 0.0703, 0.0078, -0.0547, -0.0547]"
geo,6cd995c6,10.0,1,4146,-0.0469,13.2656,13.125,-0.1406,13.2656,-0.0107,,0.1875,198,14.6875,"[198, 578, 13, 791, 220, 279, 627, 271, 323, 11, 82, 256, 2028, 1115, 1102, 19664, 2181, 362, 382, 32, 7576, 2435, 720, 62, 644, 2684, 2355, 264, 763, 7009, 662, 3947]","[0.0938, 0.3438, 0.0938, -0.2188, 0.2812, -0.1562, -0.0312, 0.0938, 0.4062, 0.3438, -0.0938, 0.0938, -0.2812, 0.2188, 0.2188, 0.2188, -0.3438, 0.3438, 0.0312, -0.0312, -0.2188, 0.0312, 0.1562, -0.0312, -0.3438, 0.1562, 0.1562, 0.0938, 0.2188, -0.5312, 0.0312, -0.4062]"
geo,6cd995c6,10.0,2,1114,0.0938,13.4297,13.4922,0.0625,13.4297,0.0046,214.875,0.0312,13,15.1875,"[13, 578, 198, 220, 11, 323, 627, 271, 791, 1115, 1102, 256, 362, 279, 382, 62, 763, 2435, 82, 720, 2684, 1442, 4427, 1666, 4314, 26, 19664, 662, 2355, 50, 1432, 3639]","[0.0312, 0.0938, -0.0312, 0.0312, 0.0938, 0.0312, 0.0938, 0.0312, 0.0312, 0.0938, 0.0312, 0.0312, 0.0938, -0.0312, 0.0938, 0.0312, 0.0938, 0.0938, -0.0312, 0.0938, 0.0938, 0.0938, 0.0938, 0.0312, 0.0312, 0.0312, -0.0312, -0.0312, 0.0312, -0.0312, 0.0312, 0.0938]"
geo,06800fde,10.0,0,20936,-0.1045,13.999,13.8945,-0.1045,13.999,-0.0075,,0.0625,791,14.1875,"[791, 198, 578, 13, 279, 220, 271, 627, 2028, 2181, 1115, 256, 1102, 644, 11, 7009, 7576, 19664, 323, 32, 3947, 8538, 382, 2435, 50, 362, 1820, 720, 1271, 2684, 2170, 2520]","[0.0, 0.0, 0.1875, 0.0, 0.0, 0.0625, 0.0, -0.0625, 0.0, 0.0, 0.1875, 0.0, 0.1875, 0.0, 0.0625, -0.0625, 0.0625, 0.1875, 0.0625, 0.0, -0.0625, -0.125, 0.0, 0.0625, -0.1875, 0.1875, -0.125, 0.0625, 0.0, 0.1875, -0.0625, 0.0]"
geo,06800fde,10.0,1,17228,-0.0303,14.8037,14.6172,-0.1865,14.8037,-0.0128,,0.0938,13,14.9375,"[13, 198, 578, 220, 11, 791, 627, 323, 271, 1115, 1102, 256, 279, 362, 382, 62, 720, 763, 2435, 2684, 2355, 1666, 4427, 1442, 662, 50, 26, 19664, 4314, 2028, 1432, 32]","[0.1562, 0.0312, 0.0312, -0.0312, 0.0938, -0.1562, 0.1562, 0.0938, 0.0312, 0.0312, 0.0938, -0.0312, -0.1562, 0.0312, 0.0938, 0.0938, 0.0938, 0.0938, 0.0312, 0.0938, 0.0938, 0.0312, 0.0312, 0.0938, 0.0312, 0.0938, 0.0312, -0.2188, 0.0312, -0.0938, 0.1562, -0.0938]"
geo,06800fde,10.0,2,1135,-0.3125,12.7656,12.3125,-0.4531,12.7656,-0.0368,,0.2031,578,15.0,"[578, 13, 198, 791, 220, 323, 627, 11, 271, 279, 256, 1115, 82, 1102, 19664, 362, 382, 2028, 62, 2435, 2181, 2684, 763, 1442, 720, 4427, 2355, 7576, 32, 662, 264, 374]","[0.1406, 0.2656, 0.0781, -0.3594, 0.2656, 0.5156, 0.1406, 0.5781, 0.1406, -0.3594, 0.1406, 0.1406, 0.0156, 0.0156, -0.2344, 0.2031, 0.1406, -0.3594, 0.2031, 0.0781, -0.4844, 0.0781, 0.2031, 0.2656, 0.1406, 0.2031, 0.2031, -0.2344, -0.0469, 0.0781, -0.0469, 0.2031]"
geo,933bec9a,25.0,0,20077,0.0264,14.0674,14.125,0.0576,14.0674,0.0041,244.153,0.0312,791,13.9375,"[791, 198, 279, 13, 578, 627, 271, 2028, 2181, 220, 7009, 644, 382, 50, 1820, 7576, 8538, 1115, 32, 3947, 1271, 256, 9673, 1383, 2460, 2170, 2520, 2038, 11, 828, 33, 323]","[-0.0312, -0.0938, 0.0312, -0.0312, -0.0938, -0.0312, -0.0938, -0.0312, -0.0938, -0.0938, -0.0312, -0.0312, -0.0312, 0.0312, 0.0312, -0.0938, -0.0312, -0.0312, -0.0312, -0.0938, -0.0312, -0.0938, -0.0312, -0.0312, -0.0312, -0.0938, -0.0938, -0.0312, -0.0938, -0.0938, 0.0312, -0.1562]"
geo,933bec9a,25.0,1,18775,-0.0156,16.7031,16.6406,-0.0625,16.7031,-0.0038,,0.0469,13,15.1875,"[13, 578, 198, 323, 220, 11, 627, 271, 791, 1115, 82, 1102, 279, 362, 256, 382, 1666, 2435, 763, 2684, 4427, 1442, 19664, 26, 720, 4314, 62, 2052, 3639, 264, 662, 3296]","[0.0469, 0.1094, 0.0469, 0.0469, -0.0781, 0.0469, -0.0156, -0.0156, -0.0156, 0.0469, 0.1094, 0.0469, -0.0156, 0.0469, -0.0156, -0.0156, 0.0469, -0.0156, 0.0469, 0.0469, 0.0469, 0.0469, 0.0469, 0.0469, -0.0156, -0.0156, 0.0469, 0.0469, 0.0469, 0.0469, 0.0469, -0.0156]"
geo,933bec9a,25.0,2,1644,-0.0137,14.6836,14.6699,-0.0137,14.6836,-0.0009,,0.0625,13,14.9375,"[13, 578, 198, 220, 11, 323, 271, 627, 1102, 1115, 791, 362, 256, 1666, 279, 382, 2435, 763, 1442, 2684, 4427, 4314, 2052, 26, 62, 19664, 720, 3639, 662, 5629, 3296, 1789]","[0.0, 0.0625, 0.0, 0.0, -0.0625, 0.0625, 0.0625, 0.0, 0.0625, 0.0, 0.0, 0.0625, 0.0, 0.0625, 0.0, 0.0, 0.0625, 0.0625, 0.0625, 0.0, -0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0625, 0.0]"
geo,c4b929f0,25.0,0,15935,0.0781,14.5,14.6094,0.1094,14.5,0.0075,132.571,0.0312,791,13.9375,"[791, 198, 279, 13, 578, 627, 271, 2028, 2181, 220, 7009, 644, 1820, 382, 50, 7576, 8538, 1115, 3947, 32, 1271, 256, 9673, 1383, 2460, 2170, 828, 2520, 11, 2038, 1687, 323]","[-0.0312, -0.0938, -0.0312, -0.0938, -0.0938, -0.0312, -0.0312, -0.0312, -0.0938, -0.0938, -0.0938, -0.0938, 0.0312, -0.0312, -0.0312, -0.0312, -0.0312, -0.0312, -0.0938, -0.0312, -0.0312, -0.0938, -0.0312, -0.0312, -0.0312, -0.0938, -0.0312, -0.0938, -0.1562, -0.0312, -0.0312, -0.1562]"
geo,c4b929f0,25.0,1,23467,0.0022,17.0859,17.1641,0.0781,17.0859,0.0046,218.7,0.0491,13,15.25,"[13, 578, 198, 323, 11, 220, 627, 271, 791, 1115, 1102, 362, 382, 279, 256, 1666, 2435, 62, 763, 4427, 2684, 26, 1442, 4314, 720, 19664, 3639, 662, 358, 1432, 2052, 264]","[-0.0759, 0.1116, -0.0134, -0.0134, -0.0134, -0.0134, -0.0759, -0.0759, -0.0759, 0.0491, 0.0491, 0.0491, -0.0759, -0.0759, -0.0134, 0.0491, 0.0491, 0.0491, 0.0491, -0.0134, -0.0134, -0.0134, -0.0134, 0.0491, -0.0759, 0.1116, -0.0134, -0.0759, 0.0491, -0.0134, -0.0134, -0.0759]"
geo,c4b929f0,25.0,2,5332,0.0,13.5781,13.4531,-0.125,13.5781,-0.0093,,0.0625,578,14.875,"[578, 13, 198, 220, 11, 323, 791, 271, 627, 1115, 279, 1102, 256, 362, 19664, 2435, 382, 763, 2684, 1666, 4427, 4314, 1442, 662, 62, 3639, 2028, 720, 26, 82, 264, 7576]","[0.125, 0.0625, 0.0, -0.0625, 0.0, 0.0, -0.125, 0.0, 0.0, 0.125, 0.0, 0.125, 0.0, 0.0625, 0.0625, 0.0, 0.0, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0, 0.125, -0.125, 0.0625, 0.0, -0.125, 0.0, 0.0]"
geo,8c28ff35,50.0,0,7322,0.0312,12.0,11.9688,-0.0312,12.0,-0.0026,,0.0,791,13.625,"[791, 279, 13, 198, 578, 627, 271, 2028, 2181, 220, 7009, 382, 1820, 644, 50, 7576, 8538, 32, 3947, 1115, 1271, 1383, 9673, 2460, 256, 828, 11, 872, 2038, 2170, 33, 2520]","[0.0625, 0.0, 0.0, -0.0625, -0.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0625, 0.0625, 0.0, -0.0625, 0.0, -0.0625, 0.0625, 0.0, 0.0, 0.0625, 0.0]"
geo,8c28ff35,50.0,1,12378,-0.0337,13.3672,13.3516,-0.0156,13.3672,-0.0012,,0.0181,13,15.1875,"[13, 578, 198, 323, 11, 220, 627, 271, 791, 1115, 362, 279, 1102, 382, 256, 62, 2435, 1666, 2684, 4427, 763, 720, 82, 264, 26, 662, 4314, 19664, 4194, 1432, 4815, 3639]","[-0.0181, -0.0181, -0.0181, -0.0181, -0.0181, -0.0181, -0.0181, -0.0181, -0.1431, -0.0181, -0.0181, -0.0181, -0.0181, -0.0181, -0.0181, -0.0806, -0.0181, -0.0181, -0.0181, -0.0181, -0.0806, -0.0181, -0.0806, -0.0181, -0.0181, -0.0181, -0.0181, 0.0444, -0.0181, -0.0181, -0.0181, 0.0444]"
geo,8c28ff35,50.0,2,3487,0.0312,14.0078,14.0312,0.0234,14.0078,0.0017,597.667,0.0078,13,15.25,"[13, 578, 198, 220, 11, 323, 271, 627, 791, 1115, 1102, 362, 256, 382, 279, 2435, 1666, 2684, 763, 4427, 1442, 62, 720, 4314, 26, 662, 3296, 2052, 257, 82, 3639, 1432]","[0.0078, 0.0703, 0.0703, 0.0078, 0.0703, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, -0.0547, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0703, -0.0547, 0.0078, 0.0703, 0.0078, 0.0078, 0.0703, 0.0078, 0.0703, 0.0078]"
geo,aab0eff7,50.0,0,14022,-0.0156,12.3281,12.25,-0.0781,12.3281,-0.0064,,0.0,791,13.6875,"[791, 279, 13, 198, 578, 627, 271, 2028, 2181, 220, 7009, 382, 1820, 644, 50, 7576, 8538, 32, 3947, 1115, 1271, 1383, 256, 9673, 2460, 11, 828, 2170, 872, 2038, 2520, 1687]","[0.0625, 0.0, -0.0625, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, -0.0625, 0.0, 0.0, 0.0625, 0.0, 0.0625, 0.0, 0.0625, 0.0, 0.0625, 0.0, 0.0625, 0.0625, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0625, 0.0]"
geo,aab0eff7,50.0,1,20338,-0.0195,15.9141,15.9023,-0.0117,15.9141,-0.0007,,0.0078,13,15.125,"[13, 578, 198, 220, 11, 323, 271, 627, 791, 82, 1115, 256, 1102, 362, 279, 382, 763, 2435, 1666, 1442, 62, 4427, 2684, 720, 26, 4314, 19664, 3296, 662, 264, 3639, 50]","[-0.0078, -0.0078, -0.0078, -0.0078, -0.0078, -0.0078, -0.0078, -0.0078, -0.0078, -0.0078, 0.0547, -0.0078, -0.0078, -0.0078, 0.0547, -0.0078, 0.0547, -0.0078, 0.0547, 0.0547, -0.0078, -0.0078, 0.0547, -0.0078, -0.0078, -0.0078, 0.0547, -0.0078, -0.0703, -0.0078, -0.0078, -0.0078]"
geo,aab0eff7,50.0,2,5728,0.0234,14.5991,14.6616,0.0625,14.5991,0.0043,233.586,0.0234,13,14.6875,"[13, 578, 198, 220, 11, 323, 627, 271, 1115, 1102, 791, 362, 256, 2435, 279, 1666, 763, 382, 1442, 2684, 4427, 4314, 62, 3639, 2052, 26, 3296, 328, 50, 662, 358, 720]","[-0.0391, 0.0234, 0.0859, 0.0234, 0.0234, 0.0234, 0.0234, 0.0859, 0.0234, -0.0391, 0.0234, 0.0234, 0.0234, 0.0234, 0.0234, -0.0391, 0.0234, 0.0234, 0.0234, -0.0391, 0.0234, 0.0234, 0.0859, 0.0234, -0.0391, 0.0234, 0.0234, 0.0234, 0.0234, 0.0234, 0.0234, 0.0234]"
