method,context_length,position_ratio,repeat,correct,status,pred_digits,passkey,generated_text
Original,8192,0.9,0,1,ok,9388693886,93886,93886. 93886 is the
Original,8192,0.9,1,1,ok,8300083000,83000,83000. 83000 is the
Original,8192,0.9,2,1,ok,3878538785,38785,38785. 38785 is the
Original,8192,0.9,3,1,ok,9973399733,99733,99733. 99733 is the
Original,8192,0.9,4,1,ok,5250452504,52504,52504. 52504 is the
Original,8192,0.9,5,1,ok,1733117331,17331,17331. 17331 is the
Original,8192,0.9,6,1,ok,4002140021,40021,40021. 40021 is the
Original,8192,0.9,7,1,ok,1420714207,14207,14207. 14207 is the
Original,8192,0.9,8,1,ok,5134751347,51347,51347. 51347 is the
Original,8192,0.9,9,1,ok,6258162581,62581,62581. 62581 is the
Original,16384,0.1,0,0,ok,,45093,........
Original,16384,0.1,1,0,ok,,18675,........
Original,16384,0.1,2,0,ok,,37653,........
Original,16384,0.1,3,0,ok,,84341,........
Original,16384,0.1,4,0,ok,,51245,........
Original,16384,0.1,5,0,ok,,37869,........
Original,16384,0.1,6,0,ok,,95909,........
Original,16384,0.1,7,0,ok,,75435,........
Original,16384,0.1,8,0,ok,,61856,........
Original,16384,0.1,9,0,ok,,94259,........
Original,16384,0.3,0,0,ok,,70142,........
Original,16384,0.3,1,0,ok,,28726,........
Original,16384,0.3,2,0,ok,,44718,........
Original,16384,0.3,3,0,ok,,28301,........
Original,16384,0.3,4,0,ok,,42325,........
Original,16384,0.3,5,0,ok,,83579,........
Original,16384,0.3,6,0,ok,,80644,........
Original,16384,0.3,7,0,ok,,44438,........
Original,16384,0.3,8,0,ok,,86622,........
Original,16384,0.3,9,0,ok,,66155,........
Original,16384,0.5,0,0,ok,,86484,........
Original,16384,0.5,1,0,ok,,62350,........
Original,16384,0.5,2,0,ok,,57447,........
Original,16384,0.5,3,0,ok,,38746,........
Original,16384,0.5,4,0,ok,,28131,........
Original,16384,0.5,5,0,ok,,76784,........
Original,16384,0.5,6,0,ok,,74686,........
Original,16384,0.5,7,0,ok,,21915,........
Original,16384,0.5,8,0,ok,,16175,........
Original,16384,0.5,9,0,ok,,24371,........
Original,16384,0.7,0,0,ok,,30033,........
Original,16384,0.7,1,0,ok,,92240,........
Original,16384,0.7,2,0,ok,,30969,........
Original,16384,0.7,3,0,ok,,99192,........
Original,16384,0.7,4,0,ok,,65333,........
Original,16384,0.7,5,0,ok,,88172,........
Original,16384,0.7,6,0,ok,,18326,........
Original,16384,0.7,7,0,ok,,60432,........
Original,16384,0.7,8,0,ok,,60019,........
Original,16384,0.7,9,0,ok,,88104,........
Original,16384,0.9,0,0,ok,,71348,........
Original,16384,0.9,1,0,ok,,79352,........
Original,16384,0.9,2,0,ok,,42953,........
Original,16384,0.9,3,0,ok,,82512,........
Original,16384,0.9,4,0,ok,,11504,........
Original,16384,0.9,5,0,ok,,99166,........
Original,16384,0.9,6,0,ok,,25014,........
Original,16384,0.9,7,0,ok,,99353,........
Original,16384,0.9,8,0,ok,,80381,........
Original,16384,0.9,9,0,ok,,44973,........
Original,32768,0.1,0,0,ok,,94012,........
Original,32768,0.1,1,0,ok,,54587,........
Original,32768,0.1,2,0,ok,,24621,........
Original,32768,0.1,3,0,ok,,48469,........
Original,32768,0.1,4,0,ok,,66985,........
Original,32768,0.1,5,0,ok,,30730,........
Original,32768,0.1,6,0,ok,,69470,........
Original,32768,0.1,7,0,ok,,10425,........
Original,32768,0.1,8,0,ok,,44522,........
Original,32768,0.1,9,0,ok,,75612,........
Original,32768,0.3,0,0,ok,,33416,........
Original,32768,0.3,1,0,ok,,76542,........
Original,32768,0.3,2,0,ok,,23947,........
Original,32768,0.3,3,0,ok,,91959,........
Original,32768,0.3,4,0,ok,,49117,........
Original,32768,0.3,5,0,ok,,93748,........
Original,32768,0.3,6,0,ok,,76540,........
Original,32768,0.3,7,0,ok,,89818,........
Original,32768,0.3,8,0,ok,,36071,........
Original,32768,0.3,9,0,ok,,30032,........
Original,32768,0.5,0,0,ok,,59009,........
Original,32768,0.5,1,0,ok,,31174,........
Original,32768,0.5,2,0,ok,,80697,........
Original,32768,0.5,3,0,ok,,79514,........
Original,32768,0.5,4,0,ok,,10074,........
Original,32768,0.5,5,0,ok,,88504,........
Original,32768,0.5,6,0,ok,,52487,........
Original,32768,0.5,7,0,ok,,74042,........
Original,32768,0.5,8,0,ok,,12552,........
Original,32768,0.5,9,0,ok,,24662,........
Original,32768,0.7,0,0,ok,,57576,........
Original,32768,0.7,1,0,ok,,50306,........
Original,32768,0.7,2,0,ok,,41385,........
Original,32768,0.7,3,0,ok,,17592,........
Original,32768,0.7,4,0,ok,,41571,........
Original,32768,0.7,5,0,ok,,84364,........
Original,32768,0.7,6,0,ok,,20322,........
Original,32768,0.7,7,0,ok,,21226,........
Original,32768,0.7,8,0,ok,,73699,........
Original,32768,0.7,9,0,ok,,19071,........
Original,32768,0.9,0,0,ok,,79822,........
Original,32768,0.9,1,0,ok,,26483,........
Original,32768,0.9,2,0,ok,,26828,........
Original,32768,0.9,3,0,ok,,96474,........
Original,32768,0.9,4,0,ok,,72296,........
Original,32768,0.9,5,0,ok,,82063,........
Original,32768,0.9,6,0,ok,,31643,........
Original,32768,0.9,7,0,ok,,44741,........
Original,32768,0.9,8,0,ok,,79163,........
Original,32768,0.9,9,0,ok,,89507,........
Standard(re-inject),4096,0.1,0,1,ok,65461654,65461,65461. Remember it. 654
Standard(re-inject),4096,0.1,1,1,ok,37760377,37760,37760. Remember it. 377
Standard(re-inject),4096,0.1,2,1,ok,80686806,80686,80686. Remember it. 806
Standard(re-inject),4096,0.1,3,1,ok,36365363,36365,36365. Remember it. 363
Standard(re-inject),4096,0.1,4,1,ok,50857508,50857,50857. Remember it. 508
Standard(re-inject),4096,0.1,5,1,ok,62296622,62296,62296. Remember it. 622
Standard(re-inject),4096,0.1,6,1,ok,98039980,98039,98039. Remember it. 980
Standard(re-inject),4096,0.1,7,1,ok,95180951,95180,95180. Remember it. 951
Standard(re-inject),4096,0.1,8,1,ok,58944589,58944,58944. Remember it. 589
Standard(re-inject),4096,0.1,9,1,ok,67422674,67422,67422. Remember it. 674
Standard(re-inject),4096,0.3,0,1,ok,77839778,77839,77839. Remember it. 778
Standard(re-inject),4096,0.3,1,1,ok,69177691,69177,69177. Remember it. 691
Standard(re-inject),4096,0.3,2,1,ok,25860258,25860,25860. Remember it. 258
Standard(re-inject),4096,0.3,3,1,ok,42493424,42493,42493. Remember it. 424
Standard(re-inject),4096,0.3,4,1,ok,39451394,39451,39451. Remember it. 394
Standard(re-inject),4096,0.3,5,1,ok,18392183,18392,18392. Remember it. 183
Standard(re-inject),4096,0.3,6,1,ok,54313543,54313,54313. Remember it. 543
Standard(re-inject),4096,0.3,7,1,ok,12757127,12757,12757. Remember it. 127
Standard(re-inject),4096,0.3,8,1,ok,87110871,87110,87110. Remember it. 871
Standard(re-inject),4096,0.3,9,1,ok,82603826,82603,82603. Remember it. 826
Standard(re-inject),4096,0.5,0,1,ok,40161401,40161,40161. Remember it. 401
Standard(re-inject),4096,0.5,1,1,ok,87128871,87128,87128. Remember it. 871
Standard(re-inject),4096,0.5,2,1,ok,38864388,38864,38864. Remember it. 388
Standard(re-inject),4096,0.5,3,1,ok,10942109,10942,10942. Remember it. 109
Standard(re-inject),4096,0.5,4,1,ok,1930519305,19305,19305. 19305 is the
Standard(re-inject),4096,0.5,5,1,ok,92719927,92719,92719. Remember it. 927
Standard(re-inject),4096,0.5,6,1,ok,17716177,17716,17716. Remember it. 177
Standard(re-inject),4096,0.5,7,1,ok,4000740007,40007,40007. 40007 is the
Standard(re-inject),4096,0.5,8,1,ok,18834188,18834,18834. Remember it. 188
Standard(re-inject),4096,0.5,9,1,ok,14117141,14117,14117. Remember it. 141
Standard(re-inject),4096,0.7,0,1,ok,53309533,53309,53309. Remember it. 533
Standard(re-inject),4096,0.7,1,1,ok,19287192,19287,19287. Remember it. 192
Standard(re-inject),4096,0.7,2,1,ok,7739177391,77391,77391. 77391 is the
Standard(re-inject),4096,0.7,3,1,ok,41195411,41195,41195. Remember it. 411
Standard(re-inject),4096,0.7,4,1,ok,46500465,46500,46500. Remember it. 465
Standard(re-inject),4096,0.7,5,1,ok,97684976,97684,97684. Remember it. 976
Standard(re-inject),4096,0.7,6,1,ok,7362473624,73624,73624. 73624 is the
Standard(re-inject),4096,0.7,7,1,ok,38080380,38080,38080. Remember it. 380
Standard(re-inject),4096,0.7,8,1,ok,80678806,80678,80678. Remember it. 806
Standard(re-inject),4096,0.7,9,1,ok,27342273,27342,27342. Remember it. 273
Standard(re-inject),4096,0.9,0,1,ok,84847848,84847,84847. Remember it. 848
Standard(re-inject),4096,0.9,1,1,ok,85525855,85525,85525. Remember it. 855
Standard(re-inject),4096,0.9,2,1,ok,71953719,71953,71953. Remember it. 719
Standard(re-inject),4096,0.9,3,1,ok,41850418,41850,41850. Remember it. 418
Standard(re-inject),4096,0.9,4,1,ok,71993719,71993,71993. Remember it. 719
Standard(re-inject),4096,0.9,5,1,ok,63354633,63354,63354. Remember it. 633
Standard(re-inject),4096,0.9,6,1,ok,34957349,34957,34957. Remember it. 349
Standard(re-inject),4096,0.9,7,1,ok,22363223,22363,22363. Remember it. 223
Standard(re-inject),4096,0.9,8,1,ok,22704227,22704,22704. Remember it. 227
Standard(re-inject),4096,0.9,9,1,ok,96374963,96374,96374. Remember it. 963
Standard(re-inject),8192,0.1,0,1,ok,6649866498,66498,66498. 66498 is the
Standard(re-inject),8192,0.1,1,1,ok,5643856438,56438,56438. 56438 is the
Standard(re-inject),8192,0.1,2,1,ok,6551965519,65519,65519. 65519 is the
Standard(re-inject),8192,0.1,3,1,ok,6388363883,63883,63883. 63883 is the
Standard(re-inject),8192,0.1,4,1,ok,7121371213,71213,71213. 71213 is the
Standard(re-inject),8192,0.1,5,1,ok,1710017100,17100,17100. 17100 is the
Standard(re-inject),8192,0.1,6,1,ok,9825998259,98259,98259. 98259 is the
Standard(re-inject),8192,0.1,7,1,ok,95649956,95649,95649. Remember it. 956
Standard(re-inject),8192,0.1,8,1,ok,9469694696,94696,94696. 94696 is the
Standard(re-inject),8192,0.1,9,1,ok,2289922899,22899,22899. 22899 is the
Standard(re-inject),8192,0.3,0,1,ok,1794417944,17944,17944. 17944 is the
Standard(re-inject),8192,0.3,1,1,ok,6277262772,62772,62772. 62772 is the
Standard(re-inject),8192,0.3,2,1,ok,5447354473,54473,54473. 54473 is the
Standard(re-inject),8192,0.3,3,1,ok,2432224322,24322,24322. 24322 is the
Standard(re-inject),8192,0.3,4,1,ok,4259142591,42591,42591. 42591 is the
Standard(re-inject),8192,0.3,5,1,ok,3511235112,35112,35112. 35112 is the
Standard(re-inject),8192,0.3,6,1,ok,3493134931,34931,34931. 34931 is the
Standard(re-inject),8192,0.3,7,1,ok,8029280292,80292,80292. 80292 is the
Standard(re-inject),8192,0.3,8,1,ok,6880068800,68800,68800. 68800 is the
Standard(re-inject),8192,0.3,9,1,ok,2837328373,28373,28373. 28373 is the
Standard(re-inject),8192,0.5,0,1,ok,65296,65296,65296.  yellow.  The
Standard(re-inject),8192,0.5,1,1,ok,34050,34050,34050.  yellow.  The
Standard(re-inject),8192,0.5,2,1,ok,46509,46509,46509.  yellow.  The
Standard(re-inject),8192,0.5,3,1,ok,70637,70637,70637.  yellow.  The
Standard(re-inject),8192,0.5,4,1,ok,42742,42742,42742.  yellow.  The
Standard(re-inject),8192,0.5,5,1,ok,19880,19880,19880.  yellow.  The
Standard(re-inject),8192,0.5,6,1,ok,68082,68082,68082.  yellow.  The
Standard(re-inject),8192,0.5,7,1,ok,82132,82132,82132.  yellow.  The
Standard(re-inject),8192,0.5,8,1,ok,2283322833,22833,22833. 22833 is the
Standard(re-inject),8192,0.5,9,1,ok,16630,16630,16630.  yellow.  The
Standard(re-inject),8192,0.7,0,1,ok,9547795477,95477,95477. 95477 is the
Standard(re-inject),8192,0.7,1,1,ok,80855808,80855,80855. Remember it. 808
Standard(re-inject),8192,0.7,2,1,ok,11934119,11934,11934. Remember it. 119
Standard(re-inject),8192,0.7,3,1,ok,2222422224,22224,22224. 22224 is the
Standard(re-inject),8192,0.7,4,1,ok,4098240982,40982,40982. 40982 is the
Standard(re-inject),8192,0.7,5,1,ok,31798317,31798,31798. Remember it. 317
Standard(re-inject),8192,0.7,6,1,ok,6326963269,63269,63269. 63269 is the
Standard(re-inject),8192,0.7,7,1,ok,7365373653,73653,73653. 73653 is the
Standard(re-inject),8192,0.7,8,1,ok,7309273092,73092,73092. 73092 is the
Standard(re-inject),8192,0.7,9,1,ok,3801638016,38016,38016. 38016 is the
Standard(re-inject),8192,0.9,0,1,ok,6256562565,62565,62565. 62565 is the
Standard(re-inject),8192,0.9,1,1,ok,17685176,17685,17685. Remember it. 176
Standard(re-inject),8192,0.9,2,1,ok,3157931579,31579,31579. 31579 is the
Standard(re-inject),8192,0.9,3,1,ok,5967259672,59672,59672. 59672 is the
Standard(re-inject),8192,0.9,4,1,ok,1028210282,10282,10282. 10282 is the
Standard(re-inject),8192,0.9,5,1,ok,6117361173,61173,61173. 61173 is the
Standard(re-inject),8192,0.9,6,1,ok,4476044760,44760,44760. 44760 is the
Standard(re-inject),8192,0.9,7,1,ok,6963869638,69638,69638. 69638 is the
Standard(re-inject),8192,0.9,8,1,ok,4738847388,47388,47388. 47388 is the
Standard(re-inject),8192,0.9,9,1,ok,6544465444,65444,65444. 65444 is the
Standard(re-inject),16384,0.1,0,0,ok,,82845,........
Standard(re-inject),16384,0.1,1,0,ok,,96752,........
Standard(re-inject),16384,0.1,2,0,ok,,73788,........
Standard(re-inject),16384,0.1,3,0,ok,,30289,........
Standard(re-inject),16384,0.1,4,0,ok,,34890,........
Standard(re-inject),16384,0.1,5,0,ok,,48890,........
Standard(re-inject),16384,0.1,6,0,ok,,38534,........
Standard(re-inject),16384,0.1,7,0,ok,,17665,........
Standard(re-inject),16384,0.1,8,0,ok,,85914,........
Standard(re-inject),16384,0.1,9,0,ok,,81066,........
Standard(re-inject),16384,0.3,0,0,ok,,17989,........
Standard(re-inject),16384,0.3,1,0,ok,,51104,........
Standard(re-inject),16384,0.3,2,0,ok,,17492,........
Standard(re-inject),16384,0.3,3,0,ok,,16572,........
Standard(re-inject),16384,0.3,4,0,ok,,86569,........
Standard(re-inject),16384,0.3,5,0,ok,,72493,........
Standard(re-inject),16384,0.3,6,0,ok,,75909,........
Standard(re-inject),16384,0.3,7,0,ok,,79615,........
Standard(re-inject),16384,0.3,8,0,ok,,30635,........
Standard(re-inject),16384,0.3,9,0,ok,,17455,........
Standard(re-inject),16384,0.5,0,0,ok,,76562,........
Standard(re-inject),16384,0.5,1,0,ok,,20500,........
Standard(re-inject),16384,0.5,2,0,ok,,34356,........
Standard(re-inject),16384,0.5,3,0,ok,,18981,........
Standard(re-inject),16384,0.5,4,0,ok,,87992,........
Standard(re-inject),16384,0.5,5,0,ok,,18907,........
Standard(re-inject),16384,0.5,6,0,ok,,98501,........
Standard(re-inject),16384,0.5,7,0,ok,,40828,........
Standard(re-inject),16384,0.5,8,0,ok,,62923,........
Standard(re-inject),16384,0.5,9,0,ok,,25713,........
Standard(re-inject),16384,0.7,0,0,ok,,84668,........
Standard(re-inject),16384,0.7,1,0,ok,,42271,........
Standard(re-inject),16384,0.7,2,0,ok,,85880,........
Standard(re-inject),16384,0.7,3,0,ok,,87924,........
Standard(re-inject),16384,0.7,4,0,ok,,15209,........
Standard(re-inject),16384,0.7,5,0,ok,,91183,........
Standard(re-inject),16384,0.7,6,0,ok,,20745,........
Standard(re-inject),16384,0.7,7,0,ok,,64948,........
Standard(re-inject),16384,0.7,8,0,ok,,96163,........
Standard(re-inject),16384,0.7,9,0,ok,,86503,........
Standard(re-inject),16384,0.9,0,0,ok,,84085,........
Standard(re-inject),16384,0.9,1,0,ok,,78522,........
Standard(re-inject),16384,0.9,2,0,ok,,51467,........
Standard(re-inject),16384,0.9,3,0,ok,,44179,........
Standard(re-inject),16384,0.9,4,0,ok,,36772,........
Standard(re-inject),16384,0.9,5,0,ok,,97782,........
Standard(re-inject),16384,0.9,6,0,ok,,51180,........
Standard(re-inject),16384,0.9,7,0,ok,,41285,........
Standard(re-inject),16384,0.9,8,0,ok,,44814,........
Standard(re-inject),16384,0.9,9,0,ok,,61876,........
Standard(re-inject),32768,0.1,0,0,ok,,27154,........
Standard(re-inject),32768,0.1,1,0,ok,,98039,........
Standard(re-inject),32768,0.1,2,0,ok,,94607,........
Standard(re-inject),32768,0.1,3,0,ok,,49321,........
Standard(re-inject),32768,0.1,4,0,ok,,69929,........
Standard(re-inject),32768,0.1,5,0,ok,,51441,........
Standard(re-inject),32768,0.1,6,0,ok,,19508,........
Standard(re-inject),32768,0.1,7,0,ok,,11220,........
Standard(re-inject),32768,0.1,8,0,ok,,70068,........
Standard(re-inject),32768,0.1,9,0,ok,,91416,........
Standard(re-inject),32768,0.3,0,0,ok,,83792,........
Standard(re-inject),32768,0.3,1,0,ok,,23104,........
Standard(re-inject),32768,0.3,2,0,ok,,19602,........
Standard(re-inject),32768,0.3,3,0,ok,,80468,........
Standard(re-inject),32768,0.3,4,0,ok,,37938,........
Standard(re-inject),32768,0.3,5,0,ok,,76307,........
Standard(re-inject),32768,0.3,6,0,ok,,44760,........
Standard(re-inject),32768,0.3,7,0,ok,,27361,........
Standard(re-inject),32768,0.3,8,0,ok,,55745,........
Standard(re-inject),32768,0.3,9,0,ok,,19016,........
Standard(re-inject),32768,0.5,0,0,ok,,42018,........
Standard(re-inject),32768,0.5,1,0,ok,,58434,........
Standard(re-inject),32768,0.5,2,0,ok,,47353,........
Standard(re-inject),32768,0.5,3,0,ok,,30676,........
Standard(re-inject),32768,0.5,4,0,ok,,67433,........
Standard(re-inject),32768,0.5,5,0,ok,,81200,........
Standard(re-inject),32768,0.5,6,0,ok,,49651,........
Standard(re-inject),32768,0.5,7,0,ok,,90173,........
Standard(re-inject),32768,0.5,8,0,ok,,95717,........
Standard(re-inject),32768,0.5,9,0,ok,,79329,........
Standard(re-inject),32768,0.7,0,0,ok,,11025,........
Standard(re-inject),32768,0.7,1,0,ok,,97538,........
Standard(re-inject),32768,0.7,2,0,ok,,82692,........
Standard(re-inject),32768,0.7,3,0,ok,,49240,........
Standard(re-inject),32768,0.7,4,0,ok,,96951,........
Standard(re-inject),32768,0.7,5,0,ok,,23577,........
Standard(re-inject),32768,0.7,6,0,ok,,27601,........
Standard(re-inject),32768,0.7,7,0,ok,,44664,........
Standard(re-inject),32768,0.7,8,0,ok,,25129,........
Standard(re-inject),32768,0.7,9,0,ok,,24029,........
Standard(re-inject),32768,0.9,0,0,ok,,82512,........
Standard(re-inject),32768,0.9,1,0,ok,,30374,........
Standard(re-inject),32768,0.9,2,0,ok,,45697,........
Standard(re-inject),32768,0.9,3,0,ok,,46930,........
Standard(re-inject),32768,0.9,4,0,ok,,89276,........
Standard(re-inject),32768,0.9,5,0,ok,,37607,........
Standard(re-inject),32768,0.9,6,0,ok,,54942,........
Standard(re-inject),32768,0.9,7,0,ok,,36685,........
Standard(re-inject),32768,0.9,8,0,ok,,93130,........
Standard(re-inject),32768,0.9,9,0,ok,,44600,........
Sigmoid(Formula),4096,0.1,0,0,ok,1,76244, The 1 gun  The  The
Sigmoid(Formula),4096,0.1,1,0,ok,1,74032, The 1 gun  The  The
Sigmoid(Formula),4096,0.1,2,0,ok,1,42914, The 1 gun  The  The
Sigmoid(Formula),4096,0.1,3,0,ok,1,16658, The 1 gun  The  The
Sigmoid(Formula),4096,0.1,4,0,ok,1,22097, The 1 gun  The  The
Sigmoid(Formula),4096,0.1,5,0,ok,1,93136, The 1 gun  The  The
Sigmoid(Formula),4096,0.1,6,0,ok,1,65518, The 1 gun  The  The
Sigmoid(Formula),4096,0.1,7,0,ok,1,46265, The 1 gun  The  The
Sigmoid(Formula),4096,0.1,8,0,ok,1,15778, The 1 gun  The  The
Sigmoid(Formula),4096,0.1,9,0,ok,1,10464, The 1 gun  The  The
Sigmoid(Formula),4096,0.3,0,0,ok,1,53719, the  The 1 gun  The
Sigmoid(Formula),4096,0.3,1,0,ok,1,27146, the  The 1 gun  The
Sigmoid(Formula),4096,0.3,2,0,ok,1,93507, the  The 1 gun  The
Sigmoid(Formula),4096,0.3,3,0,ok,1,44335, the  The 1 gun  The
Sigmoid(Formula),4096,0.3,4,0,ok,1,31178, the  The 1 gun  The
Sigmoid(Formula),4096,0.3,5,0,ok,1,67912, the  The 1 gun  The
Sigmoid(Formula),4096,0.3,6,0,ok,1,82309, the  The 1 gun  The
Sigmoid(Formula),4096,0.3,7,0,ok,1,66057, the  The 1 gun  The
Sigmoid(Formula),4096,0.3,8,0,ok,1,83519, the  The 1 gun  The
Sigmoid(Formula),4096,0.3,9,0,ok,1,11267, the  The 1 gun  The
Sigmoid(Formula),4096,0.5,0,0,ok,1,24663, the  The 1 gun  The
Sigmoid(Formula),4096,0.5,1,0,ok,1,19862, the  The 1 gun  The
Sigmoid(Formula),4096,0.5,2,0,ok,1,29536, the  The 1 gun  The
Sigmoid(Formula),4096,0.5,3,0,ok,1,81511, the  The 1 gun  The
Sigmoid(Formula),4096,0.5,4,0,ok,1,14722, the  The 1 gun  The
Sigmoid(Formula),4096,0.5,5,0,ok,1,58393, the  The 1 gun  The
Sigmoid(Formula),4096,0.5,6,0,ok,1,86350, the  The 1 gun  The
